customer_id,last_order_date,frequency,monetary,recency,R_score,F_score,M_score,RFM_score,rfm_segment
1002,2022-12-06,2,614.95,757,1,2,3,6,Hibernating
1003,2022-08-25,1,475.38,860,1,1,2,4,Lost
1004,2024-07-06,2,1067.46,179,4,2,4,10,New Customers
1005,2024-05-29,3,962.47,217,3,3,4,10,Loyal Customers
1007,2024-03-01,2,771.54,306,3,2,3,8,Potential Loyalists
1008,2024-03-08,3,2258.56,299,3,3,5,11,Loyal Customers
1009,2023-02-15,2,419.59000000000003,686,1,2,2,5,Hibernating
1010,2024-02-14,3,1255.35,322,3,3,4,10,Loyal Customers
1011,2024-10-03,2,1013.26,90,5,2,4,11,New Customers
1012,2024-03-17,1,242.61,290,3,1,1,5,Hibernating
1013,2024-10-31,2,422.01,62,5,2,2,9,New Customers
1014,2024-07-18,3,1665.65,167,4,3,5,12,Loyal Customers
1015,2024-05-04,2,542.5799999999999,242,3,2,2,7,Hibernating
1016,2023-06-27,1,57.44,554,2,1,1,4,Hibernating
1017,2024-09-08,5,1809.82,115,4,5,5,14,champions
1018,2023-08-20,3,884.69,500,2,3,4,9,At-Risk
1019,2024-05-24,3,839.4300000000001,222,3,3,3,9,Loyal Customers
1020,2024-07-28,3,379.68,157,4,3,2,9,Loyal Customers
1021,2024-02-18,3,1419.7399999999998,318,3,3,5,11,Loyal Customers
1022,2024-07-02,3,734.58,183,4,3,3,10,Loyal Customers
1024,2022-09-05,2,2039.3100000000002,849,1,2,5,8,Hibernating
1025,2024-08-13,1,279.34,141,4,1,1,6,New Customers
1026,2024-03-08,1,53.17,299,3,1,1,5,Hibernating
1027,2024-07-22,2,908.26,163,4,2,4,10,New Customers
1028,2024-06-11,4,469.37,204,4,4,2,10,Loyal Customers
1029,2024-10-09,2,205.74,84,5,2,1,8,New Customers
1030,2023-01-03,2,443.89,729,1,2,2,5,Hibernating
1031,2022-12-15,3,648.85,748,1,3,3,7,Cannot Lose Them
1032,2024-07-13,4,3363.98,172,4,4,5,13,champions
1033,2023-10-10,2,728.51,449,2,2,3,7,At-Risk
1034,2024-10-21,1,183.38,72,5,1,1,7,New Customers
1035,2024-07-10,2,436.92,175,4,2,2,8,New Customers
1036,2023-11-07,1,76.35,421,2,1,1,4,Hibernating
1037,2024-08-17,2,442.59000000000003,137,4,2,2,8,New Customers
1038,2024-07-25,1,133.33,160,4,1,1,6,New Customers
1039,2024-03-16,2,897.0899999999999,291,3,2,4,9,Potential Loyalists
1040,2024-02-26,4,720.3499999999999,310,3,4,3,10,Loyal Customers
1041,2023-03-12,1,334.95,661,1,1,2,4,Lost
1042,2023-01-28,1,121.4,704,1,1,1,3,Lost
1043,2024-06-03,3,725.49,212,3,3,3,9,Loyal Customers
1044,2024-10-20,5,1898.19,73,5,5,5,15,champions
1045,2024-11-18,2,532.29,44,5,2,2,9,New Customers
1046,2024-02-08,2,409.07,328,3,2,2,7,Hibernating
1048,2024-12-18,3,593.63,14,5,3,3,11,Loyal Customers
1049,2023-10-04,2,1272.58,455,2,2,4,8,At-Risk
1050,2023-12-31,3,477.26,367,2,3,2,7,At-Risk
1051,2024-10-26,2,629.07,67,5,2,3,10,New Customers
1052,2024-10-03,3,1152.03,90,5,3,4,12,Loyal Customers
1053,2024-08-07,3,699.54,147,4,3,3,10,Loyal Customers
1054,2023-12-29,3,1806.44,369,2,3,5,10,At-Risk
1056,2024-01-24,3,1289.19,343,3,3,4,10,Loyal Customers
1057,2023-07-20,1,487.76,531,2,1,2,5,Hibernating
1058,2024-03-05,4,1124.96,302,3,4,4,11,Loyal Customers
1059,2024-12-28,3,1385.99,4,5,3,5,13,Loyal Customers
1060,2024-07-06,2,809.4000000000001,179,4,2,3,9,New Customers
1061,2023-12-22,4,1733.4300000000003,376,2,4,5,11,At-Risk
1063,2024-08-19,4,1388.18,135,4,4,5,13,champions
1064,2023-08-03,4,1559.88,517,2,4,5,11,At-Risk
1065,2024-12-25,3,756.76,7,5,3,3,11,Loyal Customers
1067,2024-09-08,5,2553.35,115,4,5,5,14,champions
1068,2023-08-07,2,1069.7,513,2,2,4,8,At-Risk
1069,2024-08-13,3,960.49,141,4,3,4,11,Loyal Customers
1070,2022-01-08,1,424.58,1089,1,1,2,4,Lost
1072,2024-06-29,6,2359.4,186,4,5,5,14,champions
1073,2022-06-12,1,102.56,934,1,1,1,3,Lost
1074,2022-10-30,4,561.74,794,1,4,2,7,Hibernating
1075,2024-12-24,3,384.31,8,5,3,2,10,Loyal Customers
1076,2023-07-05,2,1021.94,546,2,2,4,8,At-Risk
1078,2023-08-16,2,1045.71,504,2,2,4,8,At-Risk
1079,2023-11-04,4,2027.98,424,2,4,5,11,At-Risk
1080,2024-11-16,1,618.58,46,5,1,3,9,New Customers
