order_id,customer_id,order_date,amount,category,channel,status
5153,2698,2024-11-09,472.13,Sports,Google Search,Completed
5154,4151,2022-10-21,243.56,Beauty,Email,Completed
5156,4479,2023-07-21,186.72,Apparel,SMS,Completed
5159,1554,2023-02-15,1109.18,Home & Kitchen,Google Search,Completed
5160,2468,2022-12-27,309.73,Home & Kitchen,Organic,Completed
5161,4227,2022-05-16,205.76,Home & Kitchen,SMS,Completed
5162,2652,2023-08-07,141.83,Home & Kitchen,Paid Social,Completed
5163,4308,2024-04-12,185.37,Apparel,Organic,Completed
5164,3864,2024-08-01,848.24,Home & Kitchen,Google Search,Completed
5166,2707,2023-06-19,175.1,Electronics,Email,Completed
5168,1462,2022-12-14,441.9,Electronics,Organic,Completed
5169,5298,2022-07-24,389.0,Apparel,Email,Completed
5170,2206,2022-01-18,721.54,Sports,SMS,Completed
5171,5567,2024-01-25,447.49,Beauty,SMS,Completed
5172,4604,2024-09-23,220.46,Beauty,SMS,Completed
5174,2943,2023-02-04,699.67,Beauty,Organic,Completed
5175,2211,2023-01-03,272.18,Sports,Organic,Completed
5178,4437,2023-12-22,308.7,Beauty,Email,Completed
5179,5245,2024-05-31,265.84,Beauty,Google Search,Completed
5180,5926,2023-01-05,231.63,Electronics,Email,Completed
5182,5478,2024-04-28,116.8,Apparel,Google Search,Completed
5184,2345,2024-10-23,447.88,Home & Kitchen,Google Search,Completed
5186,5826,2022-10-23,431.22,Apparel,SMS,Completed
5187,2045,2023-07-01,541.46,Home & Kitchen,SMS,Completed
5189,4595,2024-08-10,154.59,Home & Kitchen,SMS,Completed
5191,3316,2022-04-16,574.89,Apparel,Organic,Completed
5192,3063,2023-10-16,386.52,Sports,Google Search,Completed
5194,4041,2024-07-27,86.62,Electronics,Google Search,Completed
5195,2331,2024-03-22,57.35,Home & Kitchen,Paid Social,Completed
5196,3920,2023-11-22,192.68,Beauty,Paid Social,Completed
5198,4089,2023-01-19,75.47,Apparel,SMS,Completed
5199,3332,2022-12-05,261.14,Apparel,Google Search,Completed
5200,4667,2024-11-26,72.74,Apparel,Email,Completed
5202,4019,2023-09-11,141.38,Apparel,Email,Completed
5203,2246,2024-01-17,1040.11,Sports,Paid Social,Completed
5204,5591,2024-07-23,128.83,Home & Kitchen,Paid Social,Completed
5205,3562,2024-04-17,79.66,Electronics,SMS,Completed
5206,1456,2022-05-23,158.26,Home & Kitchen,Organic,Completed
5208,4532,2024-08-11,200.43,Home & Kitchen,SMS,Completed
5209,1242,2022-10-06,143.38,Sports,Organic,Completed
5211,4577,2022-12-30,337.02,Sports,Google Search,Completed
5212,4710,2024-07-29,238.59,Home & Kitchen,Email,Completed
5214,2681,2023-06-16,387.99,Beauty,Google Search,Completed
5215,4927,2023-04-07,1434.96,Sports,Email,Completed
5216,4919,2024-04-11,340.4,Apparel,Google Search,Completed
5219,5868,2023-11-11,260.88,Electronics,SMS,Completed
5221,2368,2024-03-22,36.1,Apparel,Organic,Completed
5222,2090,2023-05-07,136.46,Sports,Google Search,Completed
5223,2685,2022-01-18,173.02,Beauty,SMS,Completed
5225,5232,2024-06-14,205.32,Electronics,SMS,Completed
5228,2269,2023-09-20,88.38,Home & Kitchen,Email,Completed
5229,3512,2023-02-03,123.17,Home & Kitchen,Organic,Completed
5230,2680,2022-05-12,146.97,Apparel,Email,Completed
5231,4434,2024-04-19,513.55,Apparel,Paid Social,Completed
5233,4805,2023-05-14,251.19,Apparel,Google Search,Completed
5234,5783,2022-02-17,145.06,Apparel,SMS,Completed
5235,3376,2024-08-25,27.82,Home & Kitchen,SMS,Completed
5237,3140,2022-02-06,251.99,Sports,SMS,Completed
5239,2726,2024-10-19,589.51,Home & Kitchen,Email,Completed
5240,3218,2024-11-14,357.66,Beauty,Email,Completed
5241,2908,2022-05-21,140.88,Sports,SMS,Completed
5242,2856,2023-01-13,418.68,Sports,SMS,Completed
5244,2933,2022-03-04,304.15,Home & Kitchen,Paid Social,Completed
5245,5253,2024-11-18,536.5,Sports,Paid Social,Completed
5246,2894,2022-10-12,386.04,Electronics,SMS,Completed
5247,4130,2022-01-09,152.34,Beauty,Google Search,Completed
5248,2963,2023-09-03,463.21,Electronics,Email,Completed
5250,1368,2022-04-02,96.86,Apparel,Email,Completed
5252,1884,2024-04-09,56.83,Electronics,Google Search,Completed
5253,5691,2022-07-12,564.94,Electronics,Google Search,Completed
5260,4535,2022-06-14,99.39,Beauty,Organic,Completed
5261,3489,2022-04-12,361.21,Apparel,Organic,Completed
5262,2709,2024-12-25,227.47,Beauty,Google Search,Completed
5263,5784,2023-10-12,164.71,Home & Kitchen,SMS,Completed
5264,1957,2024-08-29,261.17,Beauty,Organic,Completed
5265,3154,2022-08-25,495.56,Apparel,SMS,Completed
5266,2161,2022-08-10,177.88,Beauty,Paid Social,Completed
5267,4379,2024-09-07,1471.55,Electronics,Organic,Completed
5268,1121,2022-04-21,427.2,Sports,Organic,Completed
5269,5501,2024-12-26,311.85,Apparel,Organic,Completed
5270,1291,2024-04-12,259.78,Home & Kitchen,SMS,Completed
5272,3768,2024-02-17,316.4,Apparel,SMS,Completed
5273,5459,2022-11-16,222.3,Home & Kitchen,Email,Completed
5278,2361,2024-07-02,207.62,Sports,Google Search,Completed
5281,2747,2022-08-23,390.97,Sports,Paid Social,Completed
5282,3513,2023-07-31,407.7,Home & Kitchen,Paid Social,Completed
5283,5332,2024-04-16,160.25,Sports,Google Search,Completed
5284,3538,2023-08-07,255.68,Apparel,SMS,Completed
5285,4018,2023-08-01,265.11,Beauty,Google Search,Completed
5286,2555,2022-08-27,317.4,Apparel,SMS,Completed
5287,2089,2024-09-09,562.88,Apparel,Google Search,Completed
5290,5836,2024-09-25,520.36,Electronics,Google Search,Completed
5291,4696,2022-11-10,115.07,Beauty,Paid Social,Completed
5293,2906,2024-06-28,312.76,Electronics,Google Search,Completed
5294,5416,2024-03-21,148.09,Home & Kitchen,SMS,Completed
5295,4748,2022-06-20,833.35,Apparel,Paid Social,Completed
5297,5649,2024-08-02,537.17,Sports,Google Search,Completed
5298,5985,2024-08-04,251.87,Apparel,Organic,Completed
5299,4983,2024-10-06,66.04,Beauty,Paid Social,Completed
5300,5282,2022-11-03,221.87,Beauty,SMS,Completed
5301,1213,2022-12-03,420.12,Home & Kitchen,Paid Social,Completed
5303,6000,2023-06-01,116.46,Beauty,SMS,Completed
5304,4750,2022-01-02,396.58,Beauty,Organic,Completed
5305,4996,2022-05-09,197.79,Apparel,Paid Social,Completed
5308,1942,2022-04-22,787.11,Home & Kitchen,Google Search,Completed
5309,5995,2024-01-06,863.47,Home & Kitchen,Google Search,Completed
5310,5722,2024-05-24,173.23,Apparel,Email,Completed
5311,3039,2023-05-26,138.74,Home & Kitchen,Organic,Completed
5312,1981,2024-01-01,1664.23,Home & Kitchen,Email,Completed
5314,2628,2024-04-09,127.52,Electronics,Email,Completed
5316,2946,2024-09-19,250.67,Home & Kitchen,SMS,Completed
5318,5891,2022-02-07,1552.21,Apparel,Email,Completed
5320,1228,2023-04-19,430.28,Electronics,Organic,Completed
5321,5905,2024-12-28,171.25,Electronics,Paid Social,Completed
5322,3130,2022-06-30,89.42,Sports,Email,Completed
5324,4708,2024-02-25,55.03,Electronics,Google Search,Completed
5325,4554,2024-03-08,1869.9,Sports,Paid Social,Completed
5326,5589,2022-11-16,564.67,Apparel,Organic,Completed
5329,1854,2024-09-26,265.95,Home & Kitchen,SMS,Completed
5333,2260,2023-10-22,253.56,Home & Kitchen,Email,Completed
5336,1940,2022-07-28,65.69,Electronics,SMS,Completed
5337,3745,2023-11-17,129.07,Sports,Organic,Completed
5338,4827,2023-09-26,94.12,Sports,SMS,Completed
5339,4792,2022-05-24,149.73,Home & Kitchen,Organic,Completed
5341,4544,2023-08-29,148.83,Sports,Paid Social,Completed
5342,1142,2023-05-24,143.09,Home & Kitchen,SMS,Completed
5344,1049,2023-10-04,410.67,Apparel,Paid Social,Completed
5346,3979,2022-11-08,1087.21,Home & Kitchen,Google Search,Completed
5348,1995,2022-07-26,210.0,Home & Kitchen,Google Search,Completed
5350,2906,2024-07-17,94.17,Apparel,Organic,Completed
5351,4453,2022-06-14,196.37,Beauty,Email,Completed
5352,1044,2024-06-01,134.82,Beauty,Organic,Completed
5353,1884,2023-01-07,124.95,Beauty,Google Search,Completed
5354,5054,2022-04-11,111.97,Apparel,Organic,Completed
5355,5708,2024-12-21,481.84,Sports,Paid Social,Completed
5358,3479,2024-08-12,101.14,Beauty,Organic,Completed
5359,2400,2023-08-23,835.81,Electronics,Email,Completed
5361,4602,2024-06-11,87.42,Home & Kitchen,Paid Social,Completed
5362,3201,2022-04-29,287.7,Electronics,Paid Social,Completed
5363,5185,2024-12-01,237.65,Home & Kitchen,Organic,Completed
5365,3246,2023-10-10,113.4,Sports,Google Search,Completed
5367,1113,2022-03-28,236.61,Beauty,Google Search,Completed
5370,4796,2023-05-15,460.51,Electronics,Paid Social,Completed
5373,2039,2022-08-07,796.63,Apparel,SMS,Completed
5374,3135,2022-08-07,216.14,Sports,Email,Completed
5375,4560,2023-04-16,271.38,Home & Kitchen,Paid Social,Completed
5376,1344,2024-03-10,326.67,Apparel,Organic,Completed
5378,5265,2022-06-11,440.93,Electronics,Organic,Completed
5380,5385,2023-09-29,74.68,Home & Kitchen,SMS,Completed
5382,3615,2022-04-09,318.08,Apparel,SMS,Completed
5383,4291,2023-07-28,122.01,Apparel,Google Search,Completed
5384,4282,2022-09-17,356.17,Apparel,Google Search,Completed
5386,5888,2023-03-05,227.97,Sports,Paid Social,Completed
5387,2887,2023-05-12,136.81,Sports,SMS,Completed
5388,1999,2022-08-18,361.68,Beauty,Organic,Completed
5390,4141,2024-02-21,375.72,Beauty,Email,Completed
5391,4552,2024-04-15,573.97,Home & Kitchen,Email,Completed
5394,5176,2023-12-22,526.08,Home & Kitchen,Google Search,Completed
5396,4397,2024-10-29,55.21,Electronics,Email,Completed
5399,4017,2024-01-04,389.73,Apparel,Email,Completed
5400,1875,2023-09-09,81.21,Apparel,Paid Social,Completed
5401,4762,2024-04-21,90.97,Apparel,Email,Completed
5404,1910,2022-04-17,691.29,Sports,Paid Social,Completed
5405,3070,2022-03-09,349.08,Apparel,Google Search,Completed
5406,2346,2024-04-09,460.51,Home & Kitchen,Email,Completed
5407,1580,2022-01-10,190.78,Home & Kitchen,Google Search,Completed
5408,3016,2022-06-12,373.65,Apparel,Organic,Completed
5409,4909,2023-08-11,237.71,Electronics,Google Search,Completed
5410,5451,2023-08-07,301.84,Beauty,Paid Social,Completed
5411,3172,2023-03-25,294.43,Apparel,SMS,Completed
5412,2319,2023-10-19,420.33,Electronics,Paid Social,Completed
5413,2921,2022-08-17,118.23,Sports,Paid Social,Completed
5414,1028,2024-06-11,91.43,Electronics,SMS,Completed
5415,2238,2022-09-17,772.92,Beauty,Paid Social,Completed
5416,3381,2023-04-01,576.28,Home & Kitchen,Google Search,Completed
5418,4271,2023-06-21,259.26,Beauty,SMS,Completed
5419,1028,2023-07-03,109.64,Electronics,Paid Social,Completed
5420,1768,2024-09-02,353.93,Beauty,Email,Completed
5421,4151,2022-11-16,117.94,Beauty,Paid Social,Completed
5422,4693,2023-04-05,559.96,Home & Kitchen,Organic,Completed
5423,2220,2022-02-04,89.51,Home & Kitchen,Google Search,Completed
5424,3544,2023-11-08,244.77,Electronics,Organic,Completed
5426,1448,2024-11-01,341.65,Electronics,SMS,Completed
5427,3690,2024-06-19,527.84,Home & Kitchen,SMS,Completed
5432,1293,2022-02-28,54.93,Electronics,SMS,Completed
5433,5464,2024-11-20,569.0,Apparel,Organic,Completed
5434,4439,2024-09-01,109.96,Electronics,Email,Completed
5435,4783,2022-09-29,315.25,Sports,Organic,Completed
5437,1999,2024-01-05,1433.43,Home & Kitchen,Email,Completed
5438,3504,2023-09-16,453.88,Beauty,SMS,Completed
5439,1349,2023-09-12,383.03,Home & Kitchen,SMS,Completed
5446,1987,2024-07-08,659.44,Sports,Google Search,Completed
5450,3023,2022-07-09,317.51,Sports,SMS,Completed
5451,2031,2024-06-27,4358.35,Sports,SMS,Completed
5453,5608,2022-09-15,155.34,Home & Kitchen,Organic,Completed
5458,4837,2024-11-17,214.77,Home & Kitchen,Email,Completed
5460,3387,2022-06-21,109.91,Apparel,Google Search,Completed
5461,2100,2022-07-16,112.93,Beauty,Organic,Completed
