reponses_id,campaign_id,customer_id,sent,opended,clicked,converted,revenue_generated
1,5,2071,1,1,1,0,0.0
2,1,4770,1,1,0,0,0.0
3,5,1294,1,1,0,0,0.0
4,7,2750,1,1,0,0,0.0
5,1,5432,1,1,1,0,0.0
6,4,4371,1,1,0,0,0.0
7,4,3554,1,0,0,0,0.0
8,7,2547,1,0,0,0,0.0
9,8,3778,1,1,0,0,0.0
10,2,3692,1,1,0,0,0.0
11,6,1515,1,1,0,0,0.0
12,3,4973,1,0,0,0,0.0
13,5,1042,1,1,1,0,0.0
14,5,4955,1,1,0,0,0.0
15,2,3742,1,1,0,0,0.0
16,7,1780,1,1,0,0,0.0
17,8,5492,1,0,0,0,0.0
18,4,2224,1,0,0,0,0.0
19,1,5816,1,1,1,0,0.0
20,3,4155,1,0,0,0,0.0
21,2,2117,1,1,1,0,0.0
22,3,5216,1,1,1,1,0.0
23,5,2349,1,1,1,0,0.0
24,5,3327,1,0,0,0,0.0
25,5,5315,1,1,0,0,0.0
26,1,1901,1,0,0,0,0.0
27,4,3416,1,0,0,0,0.0
28,8,2419,1,0,0,0,0.0
29,7,3034,1,1,0,0,0.0
30,6,5424,1,0,0,0,0.0
31,6,2819,1,1,0,0,0.0
32,3,2584,1,1,0,0,0.0
33,6,4741,1,1,0,0,0.0
34,1,5298,1,1,0,0,0.0
35,2,3446,1,1,0,0,0.0
36,4,1737,1,1,0,0,0.0
37,7,2490,1,1,1,0,0.0
38,6,2525,1,1,0,0,0.0
39,8,2484,1,0,0,0,0.0
40,4,2868,1,1,0,0,0.0
41,3,1902,1,1,0,0,0.0
42,7,1517,1,0,0,0,0.0
43,8,2534,1,1,0,0,0.0
44,1,1011,1,0,0,0,0.0
45,4,4321,1,1,0,0,0.0
46,8,1342,1,1,1,0,0.0
47,5,3486,1,0,0,0,0.0
48,5,3897,1,1,0,0,0.0
49,1,4020,1,0,0,0,0.0
50,2,5710,1,1,0,0,0.0
51,5,1607,1,0,0,0,0.0
52,4,5942,1,1,1,0,0.0
53,3,2442,1,1,0,0,0.0
54,4,2729,1,0,0,0,0.0
