reponses_id,campaign_id,customer_id,sent,opended,clicked,converted,revenue_generated
1,5,2071,1,1,1,0,0.0
2,1,4770,1,1,0,0,159.39
3,5,1294,1,1,0,0,0.0
4,7,2750,1,1,0,1,0.0
5,1,5432,1,1,1,0,0.0
6,4,4371,1,1,0,0,0.0
7,4,3554,1,0,1,0,0.0
8,7,2547,1,0,0,0,0.0
9,8,3778,1,1,0,0,113.36
10,2,3692,1,1,0,0,121.36
11,6,1515,1,1,0,0,307.91
12,3,4973,1,0,0,0,0.0
13,5,1042,1,1,1,0,0.0
14,5,4955,1,1,0,0,234.05
15,2,3742,1,1,0,0,0.0
16,7,1780,1,1,0,1,0.0
17,8,5492,1,0,0,0,0.0
18,4,2224,1,0,0,0,0.0
19,1,5816,1,1,1,0,0.0
20,3,4155,1,0,1,0,0.0
21,2,2117,1,1,1,0,0.0
22,3,5216,1,1,1,1,0.0
23,5,2349,1,1,1,0,0.0
24,5,3327,1,0,1,0,0.0
25,5,5315,1,1,0,0,0.0
26,1,1901,1,0,0,0,0.0
27,4,3416,1,0,0,0,0.0
28,8,2419,1,0,0,0,0.0
29,7,3034,1,1,0,0,0.0
30,6,5424,1,0,0,1,0.0
31,6,2819,1,1,0,0,0.0
32,3,2584,1,1,0,0,0.0
33,6,4741,1,1,0,0,0.0
34,1,5298,1,1,0,0,0.0
35,2,3446,1,1,0,0,0.0
36,4,1737,1,1,0,1,0.0
37,7,2490,1,1,1,0,0.0
38,6,2525,1,1,0,0,0.0
39,8,2484,1,0,1,0,0.0
40,4,2868,1,1,0,0,156.47
41,3,1902,1,1,0,0,148.9
42,7,1517,1,0,0,1,0.0
43,8,2534,1,1,0,0,0.0
44,1,1011,1,0,0,0,0.0
45,4,4321,1,1,0,0,0.0
46,8,1342,1,1,1,0,0.0
47,5,3486,1,0,0,0,0.0
48,5,3897,1,1,0,1,137.07
49,1,4020,1,0,0,0,192.1
50,2,5710,1,1,0,0,0.0
51,5,1607,1,0,1,1,0.0
52,4,5942,1,1,1,0,0.0
53,3,2442,1,1,0,0,0.0
54,4,2729,1,0,1,0,0.0
55,3,4969,1,0,1,0,0.0
56,5,2940,1,1,1,0,0.0
57,8,1955,1,1,0,0,0.0
58,4,1167,1,1,0,0,0.0
59,5,5752,1,1,1,0,0.0
60,8,1048,1,1,0,1,0.0
61,5,3303,1,1,0,1,0.0
62,1,5349,1,1,1,0,0.0
63,1,1251,1,0,0,1,0.0
64,2,1647,1,1,1,0,0.0
65,7,2241,1,0,0,0,0.0
66,8,3307,1,0,0,0,0.0
67,6,3274,1,1,1,1,0.0
68,5,3695,1,0,0,0,381.69
69,5,3259,1,1,0,0,0.0
70,2,3363,1,0,0,0,185.02
71,7,4645,1,1,0,0,0.0
72,6,4814,1,1,0,0,0.0
73,4,1454,1,1,1,0,0.0
74,7,4512,1,1,0,0,0.0
75,8,2683,1,1,0,0,0.0
76,6,2636,1,1,1,0,0.0
77,4,5839,1,0,0,0,0.0
78,4,3870,1,1,0,0,0.0
79,1,3987,1,1,0,1,0.0
80,7,2421,1,1,0,0,0.0
81,2,4405,1,0,0,1,0.0
82,1,3638,1,1,1,0,0.0
83,3,4924,1,0,0,0,0.0
84,2,3975,1,0,0,0,0.0
85,3,1130,1,1,1,0,0.0
86,1,1098,1,1,0,0,0.0
87,3,1331,1,1,0,1,0.0
88,3,2447,1,1,0,0,0.0
89,3,1212,1,0,0,0,0.0
90,2,2500,1,1,1,0,0.0
91,8,4796,1,0,0,0,0.0
92,6,2529,1,0,0,0,0.0
