order_id,customer_id,order_date,amount,category,channel,status
5001,4796,2022-11-01,-348.53,Apparel,Organic,Cancelled
5002,5610,2023-03-31,-246.32,Apparel,SMS,Completed
5003,4386,2024-11-08,-195.22,Sports,SMS,Completed
5004,2305,2024-01-17,-338.13,Electronics,SMS,Completed
5005,3922,2023-07-13,-243.38,Electronics,Google Search,Returned
5006,2876,2023-11-27,-320.42,Home & Kitchen,Google Search,Completed
5007,1633,2022-12-18,-231.14,Sports,Organic,Completed
5008,1100,2024-04-06,-585.07,Sports,SMS,Completed
5009,5752,2023-03-03,-1107.25,Electronics,Email,Completed
5010,5347,2024-01-30,-301.84,Electronics,Organic,Completed
5011,5419,2023-08-11,-372.62,Apparel,SMS,Cancelled
5012,3437,2022-10-30,-177.02,Sports,SMS,Completed
5013,3794,2023-03-02,-409.47,Sports,Organic,Completed
5014,1885,2022-12-24,-70.26,Electronics,Google Search,Completed
5015,4258,2023-08-08,-373.12,Sports,SMS,Completed
5016,2621,2022-01-18,-116.88,Sports,Paid Social,Cancelled
5017,4717,2022-02-02,-732.03,Electronics,Email,Completed
5018,3764,2023-06-29,-477.52,Electronics,SMS,Cancelled
5019,4161,2024-12-13,-218.99,Electronics,Paid Social,Returned
5020,5184,2022-07-16,-401.18,Electronics,SMS,Returned
5021,1817,2023-12-11,-1126.51,Apparel,Google Search,Completed
5022,4026,2023-10-30,-227.05,Electronics,SMS,Cancelled
5023,2183,2024-03-23,-319.09,Sports,SMS,Completed
5024,3211,2024-03-13,-364.47,Electronics,Google Search,Completed
5025,3574,2024-10-31,-387.39,Beauty,Email,Returned
5026,1960,2023-09-27,-190.97,Sports,Email,Returned
5027,3387,2024-10-19,-480.63,Sports,SMS,Completed
5028,1499,2022-02-26,-247.94,Apparel,Email,Completed
5029,2409,2024-08-24,-284.6,Beauty,Email,Completed
5030,5261,2024-09-27,-156.72,Apparel,SMS,Completed
5031,4224,2023-08-21,-574.87,Home & Kitchen,Email,Completed
5032,5921,2024-10-28,-121.16,Home & Kitchen,Email,Completed
5033,4571,2023-03-30,-75.55,Sports,Google Search,Completed
5034,5205,2024-10-23,-46.25,Apparel,Email,Completed
5035,5268,2024-05-18,-468.92,Apparel,Email,Completed
5036,1824,2022-08-28,-166.08,Electronics,SMS,Completed
5037,2360,2022-06-27,-150.99,Apparel,Paid Social,Cancelled
5038,4959,2023-10-31,-250.41,Home & Kitchen,Email,Returned
5039,3542,2024-09-01,-92.44,Beauty,Google Search,Cancelled
5040,3947,2022-08-25,-328.77,Sports,SMS,Completed
5041,1699,2022-03-16,-1503.05,Home & Kitchen,Organic,Cancelled
5042,3263,2024-07-25,-436.86,Electronics,Paid Social,Cancelled
5043,2474,2023-05-14,-338.22,Sports,Paid Social,Returned
5044,5893,2024-12-28,-503.6,Beauty,Organic,Completed
5045,1905,2023-08-08,-1769.57,Electronics,SMS,Returned
5046,4238,2024-09-16,-178.95,Electronics,Organic,Completed
5047,2098,2024-03-13,-179.82,Electronics,Paid Social,Returned
5048,3432,2022-11-13,-157.4,Sports,SMS,Completed
5049,1562,2023-08-20,-74.94,Apparel,Organic,Completed
5050,5717,2022-08-05,-276.3,Electronics,Google Search,Completed
5051,1142,2024-10-02,-250.91,Home & Kitchen,Email,Returned
5052,2169,2022-05-29,-314.19,Home & Kitchen,Paid Social,Cancelled
5053,4292,2024-10-03,-107.22,Apparel,Organic,Completed
5054,4157,2024-03-22,-53.52,Beauty,SMS,Returned
5055,4902,2024-04-10,-50.92,Home & Kitchen,Paid Social,Completed
5056,1745,2023-09-30,-314.37,Beauty,SMS,Completed
5057,1098,2023-04-06,-327.01,Home & Kitchen,Google Search,Completed
5058,2614,2023-06-14,-986.31,Home & Kitchen,Paid Social,Completed
5059,2668,2022-04-14,-625.42,Sports,Email,Returned
5060,1908,2022-01-06,-84.69,Beauty,Email,Cancelled
5061,3671,2022-01-04,-101.93,Home & Kitchen,Organic,Returned
5062,4190,2023-07-03,-370.28,Home & Kitchen,Paid Social,Returned
5063,4722,2023-01-15,-251.68,Electronics,Google Search,Completed
5064,2796,2022-12-06,-536.39,Sports,Google Search,Returned
5065,1385,2022-05-04,-735.54,Electronics,Paid Social,Returned
5066,2520,2023-04-14,-332.28,Sports,Organic,Returned
5067,4221,2022-09-28,-257.4,Electronics,Paid Social,Cancelled
5068,1872,2022-05-07,-108.49,Sports,Organic,Cancelled
5069,5182,2023-11-15,-111.82,Sports,Email,Cancelled
5070,5715,2022-05-17,-410.61,Home & Kitchen,Organic,Completed
5071,3712,2024-01-08,-91.66,Home & Kitchen,Paid Social,Completed
5072,5900,2023-12-04,-180.87,Beauty,Organic,Completed
5073,2258,2024-09-27,-97.53,Apparel,Google Search,Returned
5074,3571,2023-12-27,-110.74,Electronics,Google Search,Completed
5075,5260,2022-07-29,-211.62,Home & Kitchen,SMS,Completed
5076,1844,2023-09-13,-194.41,Apparel,Paid Social,Completed
5077,3836,2024-07-18,-393.79,Electronics,Organic,Completed
5078,1504,2022-07-08,-664.89,Electronics,Google Search,Cancelled
5079,1556,2024-03-05,-201.71,Electronics,Paid Social,Completed
5080,5155,2024-04-12,-92.97,Beauty,Paid Social,Returned
5081,1559,2022-03-30,-187.24,Beauty,SMS,Cancelled
5082,4476,2024-08-30,-525.83,Beauty,SMS,Cancelled
5083,1934,2023-03-23,-110.92,Home & Kitchen,SMS,Completed
5084,3315,2022-06-14,-104.24,Electronics,SMS,Returned
5085,1110,2024-05-02,-77.79,Apparel,Email,Completed
5086,1195,2023-06-09,-752.12,Apparel,Paid Social,Completed
5087,3344,2023-09-16,-39.64,Beauty,SMS,Completed
5088,4746,2022-07-30,-102.73,Beauty,Google Search,Cancelled
5089,3968,2024-04-28,-100.95,Beauty,Organic,Returned
5090,3416,2023-02-17,-180.35,Apparel,SMS,Completed
5091,1953,2022-12-01,-147.06,Beauty,Google Search,Completed
5092,2986,2023-07-20,-271.95,Home & Kitchen,Email,Completed
5093,5254,2023-12-02,-158.86,Sports,SMS,Completed
5094,2788,2024-12-07,-110.21,Sports,SMS,Completed
5095,2874,2022-06-26,-168.09,Sports,Paid Social,Completed
5096,3741,2022-03-29,-91.79,Apparel,Google Search,Completed
5097,5135,2022-05-21,-557.09,Sports,Email,Completed
5098,3633,2022-03-11,-720.17,Apparel,Organic,Completed
5099,5533,2023-12-15,-56.04,Home & Kitchen,Google Search,Completed
5100,1329,2022-05-24,-354.78,Sports,SMS,Completed
5101,2336,2023-04-30,,Electronics,Email,Completed
5102,3608,2024-11-04,,Sports,Google Search,Completed
5103,2589,2023-01-29,,Apparel,SMS,Returned
5104,4493,2022-09-07,,Electronics,Email,Completed
5105,4314,2022-02-06,,Electronics,Email,Completed
5106,3092,2023-12-15,,Sports,Google Search,Cancelled
5107,1933,2023-03-16,,Electronics,Email,Returned
5108,5916,2022-01-14,,Apparel,Organic,Cancelled
5109,5606,2024-08-17,,Home & Kitchen,Google Search,Completed
5110,4543,2024-12-13,,Sports,Organic,Returned
5111,2079,2023-04-29,,Home & Kitchen,Email,Returned
5112,1331,2023-10-10,,Sports,Paid Social,Completed
5113,4275,2022-01-02,,Sports,Paid Social,Completed
5114,4552,2022-10-15,,Beauty,Email,Cancelled
5115,2128,2022-12-25,,Beauty,Organic,Completed
5116,4632,2023-12-28,,Electronics,Organic,Completed
5117,5914,2022-05-05,,Apparel,Organic,Completed
5118,2625,2023-03-10,,Home & Kitchen,Paid Social,Cancelled
5119,5051,2024-12-26,,Home & Kitchen,Paid Social,Completed
5120,4132,2022-03-31,,Apparel,Organic,Completed
5121,2363,2022-03-19,,Home & Kitchen,SMS,Completed
5122,2811,2024-09-23,,Sports,SMS,Completed
5123,3412,2023-11-01,,Sports,Google Search,Completed
5124,2241,2022-11-08,,Apparel,Paid Social,Returned
5125,1327,2022-04-07,,Beauty,Google Search,Cancelled
5126,5507,2022-12-12,,Home & Kitchen,Paid Social,Completed
5127,1545,2024-12-25,,Electronics,Email,Completed
5128,1207,2024-04-29,,Electronics,Organic,Returned
5129,5754,2023-03-03,,Electronics,SMS,Completed
5130,2024,2023-03-27,,Beauty,Organic,Returned
5131,4872,2024-04-20,,Beauty,Paid Social,Cancelled
5132,5884,2022-05-25,,Electronics,Email,Returned
5133,2832,2024-07-27,,Home & Kitchen,Organic,Returned
5134,2773,2024-11-03,,Sports,Paid Social,Completed
5135,3728,2024-03-03,,Home & Kitchen,Paid Social,Completed
5136,3467,2022-05-03,,Electronics,Organic,Completed
5137,5364,2024-06-07,,Beauty,Email,Returned
5138,3084,2024-08-16,,Apparel,Google Search,Completed
5139,1781,2023-12-29,,Sports,SMS,Completed
5140,3156,2022-11-05,,Beauty,Google Search,Completed
5141,1563,2023-08-18,,Electronics,Paid Social,Completed
5142,2904,2024-01-08,,Home & Kitchen,Organic,Cancelled
5143,4536,2023-03-31,,Apparel,SMS,Returned
5144,2562,2022-05-18,,Electronics,Email,Completed
5145,4980,2024-07-03,,Electronics,Organic,Cancelled
5146,4424,2023-10-02,,Electronics,Email,Completed
5147,3636,2024-04-06,,Apparel,SMS,Completed
5148,3991,2023-07-22,,Sports,SMS,Completed
5149,5395,2024-06-28,,Apparel,Google Search,Cancelled
5150,2018,2024-11-30,,Beauty,Google Search,Cancelled
5151,4023,2024-09-01,421.39,Apparel,Organic,Returned
5152,2394,2024-12-09,114.06,Electronics,Email,Cancelled
5153,2698,2024-11-09,472.13,Sports,Google Search,Completed
5154,4151,2022-10-21,243.56,Beauty,Email,Completed
5155,5511,2023-04-18,346.77,Sports,Google Search,Cancelled
5156,4479,2023-07-21,186.72,Apparel,SMS,Completed
5157,1756,2024-07-05,176.46,Home & Kitchen,Google Search,Cancelled
5158,5636,2023-06-12,297.64,Beauty,Paid Social,Returned
5159,1554,2023-02-15,1109.18,Home & Kitchen,Google Search,Completed
5160,2468,2022-12-27,309.73,Home & Kitchen,Organic,Completed
5161,4227,2022-05-16,205.76,Home & Kitchen,SMS,Completed
5162,2652,2023-08-07,141.83,Home & Kitchen,Paid Social,Completed
5163,4308,2024-04-12,185.37,Apparel,Organic,Completed
5164,3864,2024-08-01,848.24,Home & Kitchen,Google Search,Completed
5165,1196,2022-05-05,164.5,Electronics,Organic,Returned
5166,2707,2023-06-19,175.1,Electronics,Email,Completed
5167,1642,2024-04-18,98.25,Home & Kitchen,Email,Cancelled
5168,1462,2022-12-14,441.9,Electronics,Organic,Completed
